channelId,channelName,type,uploads,views,likes,comments,avg_views,er,shorts_ratio,median_views,p90_views,avg_subscribers
UC2Ni-0i77sJiqm_NklS24wA,랭우 랭이🐰,creator,1,5,1,0,5.00,0.200000,1.0000,5,5,5.00
UCsRkMEjAtYDj-iHfQ2_IWxw,dotpia,creator,1,5,0,0,5.00,0.000000,0.0000,5,5,0.00
UCY-q_qsfK0pNJWCgsjU28Bw,뽀얀피쿠민,creator,1,5,0,0,5.00,0.000000,1.0000,5,5,165.00
UCd61eU-k-7GxaLP1BoR_LfA,일삼일상,creator,1,5,1,1,5.00,0.400000,0.0000,5,5,2.00
UCzznAg_9vwwNLLf3WG0KGRQ,S쿱스사랑녀,creator,1,5,1,2,5.00,0.600000,0.0000,5,5,0.00
UCVVM7KbfHVOW6YqUV1cbjsg,꼼꼼 리뷰,creator,1,5,0,1,5.00,0.200000,0.0000,5,5,155.00
UCRV5nKvqeQAaTyUMagIngAA,TB,creator,2,5,0,2,2.50,0.400000,0.5000,2.5,3.7,2010.00
UCglLXmlAwT7ahng7eBIaCOA,RYU,creator,1,5,0,0,5.00,0.000000,0.0000,5,5,1.00
UCB0l_LUT5SrcewJZ3y5YEaw,알리얄리,creator,1,4,0,1,4.00,0.250000,0.0000,4,4,26.00
UCeFfAECaSj6wl_IYuVmYVLw,스누성형외과 SNU Plastic Surgery,hospital_clinic,1,4,0,0,4.00,0.000000,1.0000,4,4,15.00
UCjtelpEX304fEd2ug_xkyPA,GOLDENAX,creator,1,3,0,0,3.00,0.000000,1.0000,3,3,1.00
UCxvRZHuhzcI-MGUx7nMJJZQ,알파,creator,1,3,1,0,3.00,0.333333,0.0000,3,3,4.00
UCJ7KlSpcgcltDr2Lm4qhFDQ,소소쇼핑,creator,1,3,0,1,3.00,0.333333,0.0000,3,3,98.00
UCSeVm3-6zx9PJsLRWohYIVg,kellyanhack,creator,1,3,0,1,3.00,0.333333,0.0000,3,3,9.00
UCwA2ufk51j5RyeA_ffM1PYQ,알리허니,creator,1,3,0,1,3.00,0.333333,0.0000,3,3,3.00
UCdBCwynzfs641HDCSLm6klA,특가추천,creator,1,3,0,1,3.00,0.333333,0.0000,3,3,4.00
UCX0ctyvR_a36Lg2ndyp8O8w,템창고,creator,1,3,0,1,3.00,0.333333,0.0000,3,3,32.00
UCi2gle5FWVjNFbocgbkLP7g,Fifth,creator,1,2,0,0,2.00,0.000000,1.0000,2,2,27.00
UCiRzZE4kWd6Qa5jC6DX9nWQ,병의원키워드마케팅전문,hospital_clinic,1,2,0,0,2.00,0.000000,0.0000,2,2,39200.00
UCQIKIkaBYkaSHzowJHdmRUw,리뷰해줄개,creator,1,2,0,1,2.00,0.500000,0.0000,2,2,64.00
UCsyi-I3nQknME4DuGJ8ASJg,찐리뷰냥,creator,1,2,0,1,2.00,0.500000,0.0000,2,2,24.00
UCHgOtx0EX2gWjkTETklM3YQ,버킷 리뷰,creator,1,2,0,1,2.00,0.500000,0.0000,2,2,49.00
UCwbtODfQJBr2O4C8iGsLpTw,하밍,creator,1,2,0,0,2.00,0.000000,1.0000,2,2,26.00
UCPwdvI2WYcite83B7q5V3cA,All Around Us Media,creator,1,2,0,0,2.00,0.000000,0.0000,2,2,21.00
UC1b2WDhshtOx40zEKzywo7w,은율,creator,1,1,0,0,1.00,0.000000,0.0000,1,1,0.00
UC0CPXpG3uvYSr4ny-GLWMwA,연남동 잡화점,creator,1,1,0,1,1.00,1.000000,0.0000,1,1,146.00
UCfjfj_WKzB0im1pwjCmgqQA,핫핫,creator,1,1,0,1,1.00,1.000000,0.0000,1,1,0.00
UCMAL2UeIcQ-3M2Y9c9zJjlA,오늘의픽,creator,1,1,0,1,1.00,1.000000,0.0000,1,1,183.00
UCdM308HHAuQp088PMUYUFXA,뷰티인포(부인),creator,1,1,0,0,1.00,0.000000,0.0000,1,1,1640.00
UC8YvIa75vodVVGvB-6gtnXQ,리뷰다햄,creator,1,1,0,1,1.00,1.000000,0.0000,1,1,3.00
UCPJfNxv0AM-P4yCzdgPWVUw,Any Time Any Topic,creator,1,0,0,0,0.00,0.000000,0.0000,0,0,6.00
UCMxu9T6exaEudTAKs5E9PIQ,딜딜이네,creator,1,0,0,1,0.00,0.000000,0.0000,0,0,2.00
UCgMmn69o_WTvhuKwrOMWzSw,추천리뷰,creator,1,0,0,1,0.00,0.000000,0.0000,0,0,31.00
UCSjSPExhDsgIblrIVLtmMzQ,리뷰플래닛,creator,1,0,0,1,0.00,0.000000,0.0000,0,0,46.00
UCqcCCYTkTarYsPoa4sGm6rg,빠른딜,creator,1,0,0,1,0.00,0.000000,0.0000,0,0,173.00
UCkkYqkcB9Ag5mgQIk6p5f_Q,알뜰신잡 리뷰,creator,1,0,0,1,0.00,0.000000,0.0000,0,0,5.00
UCAHqSEhFNrSfPPvRn1iSMrA,핫템줍줍,creator,1,0,0,1,0.00,0.000000,0.0000,0,0,148.00
UCMm3rzUznvUhH4Uicv4rzdA,잇템뷰,creator,1,0,0,1,0.00,0.000000,0.0000,0,0,58.00
UCG77Eo21T4aG4widaKQnjHw,안우경,creator,1,0,0,0,0.00,0.000000,0.0000,0,0,0.00
UCkDuopxxhWgwSy0vSMVlyEA,즐거운 리뷰,creator,1,0,0,1,0.00,0.000000,0.0000,0,0,3.00
UClcPfLqCILtY8MtBV1UTq8w,뻔뻔한 리뷰,creator,1,0,0,1,0.00,0.000000,0.0000,0,0,13.00
UCtyiWUC2-UczDkFlaNfg2EA,필수템추천,creator,1,0,0,1,0.00,0.000000,0.0000,0,0,153.00
