channelId,channelName,type,uploads,views,likes,comments,avg_views,er,shorts_ratio,median_views,p90_views,avg_subscribers
UCLu9C1B4b1eEW1uQbyiM29g,UCLu9C1B4b1eEW1uQbyiM29g,creator,1,1386,6,0,1386.00,0.004329,1.0000,1386,1386,0.00
UCatd0QKKPG_WTDG1gJXFCFg,UCatd0QKKPG_WTDG1gJXFCFg,creator,1,1374,0,0,1374.00,0.000000,1.0000,1374,1374,0.00
UChXTq-7qSDvLcxtzsm5LKUQ,UChXTq-7qSDvLcxtzsm5LKUQ,creator,4,1334,14,0,333.50,0.010495,1.0000,298,435.20000000000005,0.00
UC2beaFgZY-o53vhwyMGA0gw,UC2beaFgZY-o53vhwyMGA0gw,creator,1,1278,35,14,1278.00,0.038341,0.0000,1278,1278,0.00
UCxevGBOlgR9cIk3AF2ekOHA,UCxevGBOlgR9cIk3AF2ekOHA,creator,1,1247,6,0,1247.00,0.004812,1.0000,1247,1247,0.00
UC-rYpRZQRqmcVYl6EjQJz6Q,UC-rYpRZQRqmcVYl6EjQJz6Q,creator,6,1222,24,2,203.67,0.021277,0.6667,151,399,0.00
UCNG-kErRpwUZNbPlXW0Mj9g,UCNG-kErRpwUZNbPlXW0Mj9g,creator,2,1222,34,12,611.00,0.037643,0.0000,611,611,0.00
UCHQ1sKCV0R3Xwk4-Ck2dV-A,UCHQ1sKCV0R3Xwk4-Ck2dV-A,creator,2,1196,48,4,598.00,0.043478,0.0000,598,598,0.00
UCtTohQBKEAZawd7fqNhmCIQ,UCtTohQBKEAZawd7fqNhmCIQ,creator,2,1174,12,0,587.00,0.010221,1.0000,587,589.4,0.00
UCrtLZ78KSFnupbJBZrYfEPw,UCrtLZ78KSFnupbJBZrYfEPw,creator,1,1160,5,0,1160.00,0.004310,1.0000,1160,1160,0.00
UCPZkIikv-3kg3jngirJcbmQ,UCPZkIikv-3kg3jngirJcbmQ,creator,1,1151,8,3,1151.00,0.009557,1.0000,1151,1151,0.00
UCTrDtoIMwRkJo06dUcQsXEw,UCTrDtoIMwRkJo06dUcQsXEw,creator,1,1141,2,0,1141.00,0.001753,1.0000,1141,1141,0.00
UCVowQXjUUwNADwW4N-VrZog,UCVowQXjUUwNADwW4N-VrZog,hospital_clinic,4,1122,3,0,280.50,0.002674,1.0000,330.5,337.4,0.00
UCZD48Se-kSXbQmAuvCvFqqw,UCZD48Se-kSXbQmAuvCvFqqw,creator,1,1103,3,0,1103.00,0.002720,1.0000,1103,1103,0.00
UCjnl0FreGqKR6WWdJuvUsjw,UCjnl0FreGqKR6WWdJuvUsjw,hospital_clinic,1,1037,272,3,1037.00,0.265188,0.0000,1037,1037,0.00
UCQdXdttJJTiHwCczJGkgRIg,UCQdXdttJJTiHwCczJGkgRIg,creator,2,1014,20,2,507.00,0.021696,0.0000,507,510.2,0.00
UCG2iZPY4iau8H8LwDapoDyQ,UCG2iZPY4iau8H8LwDapoDyQ,creator,3,1004,9,0,334.67,0.008964,0.0000,322,352.4,0.00
UCl_gUMWT3bXqa-xYjDWwiYA,UCl_gUMWT3bXqa-xYjDWwiYA,creator,2,988,38,8,494.00,0.046559,0.0000,494,494,0.00
UCo0awe62XA2d5pmKryhSG6A,UCo0awe62XA2d5pmKryhSG6A,creator,2,986,70,26,493.00,0.097363,0.0000,493,493,0.00
UCFavHcdjm0HF7fYix074-Pg,UCFavHcdjm0HF7fYix074-Pg,creator,2,970,5,0,485.00,0.005155,0.5000,485,850.6,0.00
UCoI_80yzSnXP_qAs7rRnY3g,UCoI_80yzSnXP_qAs7rRnY3g,hospital_clinic,1,939,3,0,939.00,0.003195,1.0000,939,939,0.00
UCYR8xk6Z4PT7_Y-ocwr2yOA,UCYR8xk6Z4PT7_Y-ocwr2yOA,hospital_clinic,2,926,6,0,463.00,0.006479,1.0000,463,463,0.00
UCEvR5_CfamKFIXFSh5GDnuQ,UCEvR5_CfamKFIXFSh5GDnuQ,creator,1,902,156,0,902.00,0.172949,0.0000,902,902,0.00
UC55uaoYjZfPDBmufAkH408w,UC55uaoYjZfPDBmufAkH408w,creator,2,898,2,0,449.00,0.002227,1.0000,449,449,0.00
UCodG0bJ3OICRA1bg4TBdU9A,UCodG0bJ3OICRA1bg4TBdU9A,creator,1,897,6,0,897.00,0.006689,1.0000,897,897,0.00
